nazw;X;Y;z_top;z_bot;g_wer
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;144.98;144.38;Hu
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;119.97999999999999;119.97999999999999;
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;144.38;144.07999999999998;orSi2
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;144.07999999999998;143.48;Pt
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;143.48;142.38;Sa5
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;139.38;138.07999999999998;Si3
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;138.07999999999998;136.57999999999998;Si3
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;136.57999999999998;135.67999999999998;Si2
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;133.67999999999998;131.87999999999997;Sa2
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;131.88;129.98;Sa3
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;129.98;128.48;Sa6
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;128.48;125.67999999999999;Sa6
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;125.67999999999999;120.47999999999999;Sa6
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;120.47999999999999;119.97999999999999;Sa6
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;142.38;139.38;Sa5
LK86181W/W51/4+016/MK/7w;6512305.38;5690069.13;135.67999999999998;133.67999999999998;Si3
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;145.35;144.95;Hu
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;144.45;143.45;Cl1
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;120.35;120.35;
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;144.95;144.45;Pt
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;143.45;141.95;Si1
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;141.95;141.45;Sa5
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;140.54999999999998;139.74999999999997;Sa2
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;139.04999999999998;138.35;orSi2
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;137.54999999999998;136.64999999999998;Si2
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;136.65;136.25;Si2
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;133.65;132.25;Sa3
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;132.25;127.65;Sa3
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;127.64999999999999;125.35;Sa6
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;121.64999999999999;120.74999999999999;Sa6
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;123.44999999999999;121.64999999999999;Si4
LK86181W/W51/4+016/MK/5w;6512328.4;5690041.29;120.75;120.35;Si3
